L1,L2,L3,L4,L5,L9,Level,UPC,COLUPC,SY,GE,VEND,ITEM,*STUBSPEC 1844RC                                                         00004  ,VOL_EQ,PRODUCT TYPE,COLOR,SIZE,ADDITIVES,NUMBER OF PLY,TYPE OF DISPENSER,NUMBER OF SHEETS
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KIMBERLY CLARK CORP,KIMBERLY CLARK CORP,KLEENEX SOFTIQUE,+KSFTQ WHT FCLTS 2PLY 250CT,9,00-03-36000-29607,33600029607,, 3,36000,29607,        +KSFTQ WHT FCLTS 2PLY      250CT 0 3 36000 29607 1  1 2.5000RP   00610  ,2.5,FACIAL TISSUE,WHITE,FAMILY,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KIMBERLY CLARK CORP,KIMBERLY CLARK CORP,KLEENEX TRAVELERS,+KLNTR FCLTS 2PLY 40CT,9,00-02-36000-24611,23600024611,, 2,36000,24611,        +KLNTR FCLTS 2PLY           40CT 0 2 36000 24611 1  1 0.4000RP   00612  ,0.4,FACIAL TISSUE,MISSING,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KIMBERLY CLARK CORP,KIMBERLY CLARK CORP,KLEENEX TRAVELERS,+KLNTR WHT FCLTS 2PLY 120CT,9,00-01-36000-24621,13600024621,, 1,36000,24621,        +KLNTR WHT FCLTS 2PLY      120CT 0 1 36000 24621 1  1 1.2000RP   00613  ,1.2,FACIAL TISSUE,WHITE,TRAVEL,MISSING,2 PLY,POP-UP,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KIMBERLY CLARK CORP,KIMBERLY CLARK CORP,KLEENEX ULTRA,+KLXUT ASST FCLTS 2PLY 280CT,9,00-02-36000-25113,23600025113,, 2,36000,25113,        +KLXUT ASST FCLTS 2PLY     280CT 0 2 36000 25113 1  1 2.8000RP   00615  ,2.8,FACIAL TISSUE,ASSORTED,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KIMBERLY CLARK CORP,KIMBERLY CLARK CORP,KLEENEX ULTRA,+KLXUT WHT FCLTS 2PLY 60CT,9,00-01-61143-13740,16114313740,, 1,61143,13740,        +KLXUT WHT FCLTS 2PLY       60CT 0 1 61143 13740 1  1 0.6000RP   00616  ,0.6,FACIAL TISSUE,WHITE,POCKET SIZE,MISSING,2 PLY,TEAR OPEN,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KIMBERLY CLARK CORP,KIMBERLY CLARK CORP,KLEENEX ULTRA,+KLXUT WHT FCLTS 2PLY 70CT,9,00-01-36000-29440,13600029440,, 1,36000,29440,        +KLXUT WHT FCLTS 2PLY       70CT 0 1 36000 29440 1  1 0.7000RP   00617  ,0.7,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KIMBERLY CLARK CORP,KIMBERLY CLARK CORP,KLEENEX ULTRA,+KLXUT WHT FCLTS 3PLY 70CT,9,00-01-36000-26607,13600026607,, 1,36000,26607,        +KLXUT WHT FCLTS 3PLY       70CT 0 1 36000 26607 1  1 0.7000RP   00618  ,0.7,FACIAL TISSUE,WHITE,MISSING,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KIMBERLY CLARK CORP,KIMBERLY CLARK CORP,KLEENEX ULTRA,+KLXUT WHT FCLTS 3PLY 70CT,9,00-01-36000-29175,13600029175,, 1,36000,29175,        +KLXUT WHT FCLTS 3PLY       70CT 0 1 36000 29175 1  1 0.7000RP   00619  ,0.7,FACIAL TISSUE,WHITE,MISSING,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KIMBERLY CLARK CORP,KIMBERLY CLARK CORP,KLEENEX ULTRA,+KLXUT WHT FCLTS 3PLY 70CT,9,00-01-36000-29456,13600029456,, 1,36000,29456,        +KLXUT WHT FCLTS 3PLY       70CT 0 1 36000 29456 1  1 0.7000RP   00620  ,0.7,FACIAL TISSUE,WHITE,REGULAR,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KIMBERLY CLARK CORP,KIMBERLY CLARK CORP,KLEENEX ULTRA,+KLXUT WHT FCLTS 3PLY 70CT,9,00-01-36000-29457,13600029457,, 1,36000,29457,        +KLXUT WHT FCLTS 3PLY       70CT 0 1 36000 29457 1  1 0.7000RP   00621  ,0.7,FACIAL TISSUE,WHITE,MISSING,MISSING,3 PLY,POP-UP,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KIMBERLY CLARK CORP,KIMBERLY CLARK CORP,KLEENEX ULTRA,+KLXUT WHT FCLTS 3PLY 70CT,9,00-01-36000-29470,13600029470,, 1,36000,29470,        +KLXUT WHT FCLTS 3PLY       70CT 0 1 36000 29470 1  1 0.7000RP   00622  ,0.7,FACIAL TISSUE,WHITE,MISSING,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KIMBERLY CLARK CORP,KIMBERLY CLARK CORP,KLEENEX ULTRA,+KLXUT WHT FCLTS 3PLY 90CT,9,00-01-36000-26075,13600026075,, 1,36000,26075,        +KLXUT WHT FCLTS 3PLY       90CT 0 1 36000 26075 1  1 0.9000RP   00623  ,0.9,FACIAL TISSUE,WHITE,MISSING,MISSING,3 PLY,POP-UP,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KIMBERLY CLARK CORP,KIMBERLY CLARK CORP,KLEENEX ULTRA,+KLXUT WHT FCLTS 3PLY 144CT,9,27-04-00704-92150,2740070492150,27, 4,  704,92150,        +KLXUT WHT FCLTS 3PLY      144CT27 4   704 92150 1  1 1.4400RP   00624  ,1.44,FACIAL TISSUE,WHITE,MISSING,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KIMBERLY CLARK CORP,KIMBERLY CLARK CORP,KLEENEX ULTRA,+KLXUT WHT FCLTS 3PLY 144CT,9,00-05-36000-26150,53600026150,, 5,36000,26150,        +KLXUT WHT FCLTS 3PLY      144CT 0 5 36000 26150 1  1 1.4400RP   00625  ,1.44,FACIAL TISSUE,WHITE,MISSING,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KIMBERLY CLARK CORP,KIMBERLY CLARK CORP,KLEENEX ULTRA,+KLXUT WHT FCLTS 3PLY 180CT,9,27-01-00711-11358,2710071111358,27, 1,  711,11358,        +KLXUT WHT FCLTS 3PLY      180CT27 1   711 11358 1  1 1.8000RP   00626  ,1.8,FACIAL TISSUE,WHITE,FAMILY,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KIMBERLY CLARK CORP,KIMBERLY CLARK CORP,KLEENEX ULTRA,+KLXUT WHT FCLTS 3PLY 180CT,9,00-02-36000-26180,23600026180,, 2,36000,26180,        +KLXUT WHT FCLTS 3PLY      180CT 0 2 36000 26180 1  1 1.8000RP   00627  ,1.8,FACIAL TISSUE,WHITE,FAMILY,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KIMBERLY CLARK CORP,KIMBERLY CLARK CORP,KLEENEX ULTRA,+KLXUT WHT FCLTS 3PLY 288CT,9,00-03-36000-25910,33600025910,, 3,36000,25910,        +KLXUT WHT FCLTS 3PLY      288CT 0 3 36000 25910 1  1 2.8800RP   00628  ,2.88,FACIAL TISSUE,WHITE,FAMILY,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KIMBERLY CLARK CORP,KIMBERLY CLARK CORP,KLEENEX ULTRA,+KLXUT WHT FCLTS 3PLY 560CT,9,00-03-36000-25950,33600025950,, 3,36000,25950,        +KLXUT WHT FCLTS 3PLY      560CT 0 3 36000 25950 1  1 5.6000RP   00629  ,5.6,FACIAL TISSUE,WHITE,MISSING,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KIMBERLY CLARK CORP,KIMBERLY CLARK CORP,KLEENEX ULTRA,+KLXUT WHT FCLTS 3PLY 108CT,9,00-01-36000-26202,13600026202,, 1,36000,26202,        +KLXUT WHT FCLTS 3PLY      108CT 0 1 36000 26202 1  1 1.0800PP   00630  ,1.08,FACIAL TISSUE,WHITE,MISSING,NO LOTION,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KIMBERLY CLARK CORP,KIMBERLY CLARK CORP,KLEENEX ULTRA,+KLXUT WHT FCLTS 3PLY 150CT,9,00-01-36000-26151,13600026151,, 1,36000,26151,        +KLXUT WHT FCLTS 3PLY      150CT 0 1 36000 26151 1  1 1.5000PP   00631  ,1.5,FACIAL TISSUE,WHITE,FAMILY,NO LOTION,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KIMBERLY CLARK CORP,KIMBERLY CLARK CORP,KLEENEX ULTRA,+KLXUT WHT FCLTS 3PLY 160CT,9,00-02-36000-26153,23600026153,, 2,36000,26153,        +KLXUT WHT FCLTS 3PLY      160CT 0 2 36000 26153 1  1 1.6000RP   00632  ,1.6,FACIAL TISSUE,WHITE,FAMILY,NO LOTION,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KING ZAK INDUSTRIES INC.,KING ZAK INDUSTRIES INC.,NICOLE COLLECTION,+NICL2 PRINT FCLTS 3PLY 100CT,9,07-01-63615-01007,716361501007,7, 1,63615, 1007,        +NICL2 PRINT FCLTS 3PLY    100CT 7 1 63615  1007 1  1 1.0000RP   00636  ,1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KING ZAK INDUSTRIES INC.,KING ZAK INDUSTRIES INC.,NICOLE COLLECTION,+NICL2 PRINT FCLTS 3PLY 100CT,9,00-01-63615-01007,16361501007,, 1,63615, 1007,        +NICL2 PRINT FCLTS 3PLY    100CT 0 1 63615  1007 0= 1 1.0000RP   00637  ,1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KINGSBRIDGE INTL,KINGSBRIDGE INTL,NOBRAND,+NBRND WHT FCLTS 2PLY 80CT,9,00-02-13308-44440,21330844440,, 2,13308,44440,        +NBRND WHT FCLTS 2PLY       80CT 0 2 13308 44440 1  1 0.8000RP   00641  ,0.8,FACIAL TISSUE,WHITE,POCKET SIZE,MISSING,2 PLY,TEAR OPEN,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KOCH INDUSTRIES INC,GEORGIA-PACIFIC CORP,ENVISION,+ENVSN WHT FCLTS 2PLY 100CT,9,00-01-73310-48090,17331048090,, 1,73310,48090,        +ENVSN WHT FCLTS 2PLY      100CT 0 1 73310 48090 1  1 1.0000RP   00645  ,1,FACIAL TISSUE,WHITE,MISSING,NO ADDITIVES,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KOCH INDUSTRIES INC,GEORGIA-PACIFIC CORP,ENVISION,+ENVSN WHT FCLTS 3PLY NDIPR 66CT,9,00-01-73310-48590,17331048590,, 1,73310,48590,        +ENVSN WHT FCLTS 3PLY NDIPR 66CT 0 1 73310 48590 1  1 0.6600RP   00646  ,0.66,FACIAL TISSUE,WHITE,MISSING,NO DYE/INK/PERFUME,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KOCH INDUSTRIES INC,GEORGIA-PACIFIC CORP,ENVISION,+ENVSN WHT FCLTS 3PLY NDIPR 84CT,9,00-01-73310-49790,17331049790,, 1,73310,49790,        +ENVSN WHT FCLTS 3PLY NDIPR 84CT 0 1 73310 49790 1  1 0.8400RP   00647  ,0.84,FACIAL TISSUE,WHITE,MISSING,NO DYE/INK/PERFUME,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KOCH INDUSTRIES INC,GEORGIA-PACIFIC CORP,GREEN FOREST,+GFORS WHT FCLTS 2PLY 175CT,9,00-01-63668-38204,16366838204,, 1,63668,38204,        +GFORS WHT FCLTS 2PLY      175CT 0 1 63668 38204 1  1 1.7500RP   00649  ,1.75,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KOCH INDUSTRIES INC,GEORGIA-PACIFIC CORP,GREEN FOREST,+GFORS WHT FCLTS 2PLY 175CT,9,00-01-73310-41002,17331041002,, 1,73310,41002,        +GFORS WHT FCLTS 2PLY      175CT 0 1 73310 41002 1  1 1.7500RP   00650  ,1.75,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KOCH INDUSTRIES INC,GEORGIA-PACIFIC CORP,POM ETTS,+POMET WHT FCLTS 2PLY 100CT,9,00-04-73310-47410,47331047410,, 4,73310,47410,        +POMET WHT FCLTS 2PLY      100CT 0 4 73310 47410 1  1 1.0000RP   00652  ,1,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KOCH INDUSTRIES INC,GEORGIA-PACIFIC CORP,PREFERENCE,+PRFR3 WHT FCLTS 2PLY 100CT,9,00-01-73310-47000,17331047000,, 1,73310,47000,        +PRFR3 WHT FCLTS 2PLY      100CT 0 1 73310 47000 1  1 1.0000RP   00654  ,1,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KOCH INDUSTRIES INC,GEORGIA-PACIFIC CORP,PREFERENCE ULTRA,+PFULT WHT FCLTS 3PLY 66CT,9,00-02-73310-46500,27331046500,, 2,73310,46500,        +PFULT WHT FCLTS 3PLY       66CT 0 2 73310 46500 1  1 0.6600RP   00656  ,0.66,FACIAL TISSUE,WHITE,MISSING,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KOCH INDUSTRIES INC,GEORGIA-PACIFIC CORP,SOF KNIT,+SFKNT WHT FCLTS 2PLY 85CT,9,00-01-73310-40401,17331040401,, 1,73310,40401,        +SFKNT WHT FCLTS 2PLY       85CT 0 1 73310 40401 1  1 0.8500RP   00658  ,0.85,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KOCH INDUSTRIES INC,GEORGIA-PACIFIC CORP,SOF KNIT,+SFKNT WHT FCLTS 2PLY 85CT,9,00-01-73310-40402,17331040402,, 1,73310,40402,        +SFKNT WHT FCLTS 2PLY       85CT 0 1 73310 40402 1  1 0.8500RP   00659  ,0.85,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KOCH INDUSTRIES INC,GEORGIA-PACIFIC CORP,SOF KNIT,+SFKNT WHT FCLTS 2PLY 150CT,9,00-01-73310-40070,17331040070,, 1,73310,40070,        +SFKNT WHT FCLTS 2PLY      150CT 0 1 73310 40070 1  1 1.5000RP   00660  ,1.5,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,POP-UP,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KOCH INDUSTRIES INC,GEORGIA-PACIFIC CORP,SOF KNIT,+SFKNT WHT FCLTS 2PLY 160CT,9,00-01-73310-40410,17331040410,, 1,73310,40410,        +SFKNT WHT FCLTS 2PLY      160CT 0 1 73310 40410 1  1 1.6000RP   00661  ,1.6,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KOCH INDUSTRIES INC,GEORGIA-PACIFIC CORP,SOF KNIT,+SFKNT WHT FCLTS 2PLY 160CT,9,00-01-73310-40411,17331040411,, 1,73310,40411,        +SFKNT WHT FCLTS 2PLY      160CT 0 1 73310 40411 1  1 1.6000RP   00662  ,1.6,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KOCH INDUSTRIES INC,GEORGIA-PACIFIC CORP,SOF KNIT,+SFKNT WHT FCLTS 2PLY 230CT,9,00-01-73310-40420,17331040420,, 1,73310,40420,        +SFKNT WHT FCLTS 2PLY      230CT 0 1 73310 40420 1  1 2.3000RP   00663  ,2.3,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KOCH INDUSTRIES INC,GEORGIA-PACIFIC CORP,SOF KNIT,+SFKNT WHT FCLTS 2PLY 230CT,9,00-01-73310-40421,17331040421,, 1,73310,40421,        +SFKNT WHT FCLTS 2PLY      230CT 0 1 73310 40421 1  1 2.3000RP   00664  ,2.3,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,POP-UP,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KOCH INDUSTRIES INC,GEORGIA-PACIFIC CORP,SOFT N GENTLE,+SFTNG WHT FCLTS 2PLY 84CT,9,00-01-73310-46317,17331046317,, 1,73310,46317,        +SFTNG WHT FCLTS 2PLY       84CT 0 1 73310 46317 1  1 0.8400RP   00666  ,0.84,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KOCH INDUSTRIES INC,GEORGIA-PACIFIC CORP,SOFT N GENTLE,+SFTNG WHT FCLTS 2PLY 84CT,9,00-01-73310-46389,17331046389,, 1,73310,46389,        +SFTNG WHT FCLTS 2PLY       84CT 0 1 73310 46389 1  1 0.8400PP   00667  ,0.84,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KOCH INDUSTRIES INC,GEORGIA-PACIFIC CORP,SOFT N GENTLE,+SFTNG WHT FCLTS 2PLY 150CT,9,00-01-42000-42510,14200042510,, 1,42000,42510,        +SFTNG WHT FCLTS 2PLY      150CT 0 1 42000 42510 1  1 1.5000RP   00668  ,1.5,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KOCH INDUSTRIES INC,GEORGIA-PACIFIC CORP,SOFT N GENTLE,+SFTNG WHT FCLTS 2PLY 150CT,9,00-01-42000-42520,14200042520,, 1,42000,42520,        +SFTNG WHT FCLTS 2PLY      150CT 0 1 42000 42520 1  1 1.5000RP   00669  ,1.5,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KOCH INDUSTRIES INC,GEORGIA-PACIFIC CORP,SOFT N GENTLE,+SFTNG WHT FCLTS 2PLY 175CT,9,00-01-73310-40117,17331040117,, 1,73310,40117,        +SFTNG WHT FCLTS 2PLY      175CT 0 1 73310 40117 1  1 1.7500RP   00670  ,1.75,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KOCH INDUSTRIES INC,GEORGIA-PACIFIC CORP,SOFT N GENTLE,+SFTNG WHT FCLTS 2PLY 175CT,9,00-02-73310-40199,27331040199,, 2,73310,40199,        +SFTNG WHT FCLTS 2PLY      175CT 0 2 73310 40199 1  1 1.7500PP   00671  ,1.75,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KOCH INDUSTRIES INC,GEORGIA-PACIFIC CORP,SOFT N GENTLE,+SFTNG WHT FCLTS 2PLY 175CT,9,00-01-73310-40199,17331040199,, 1,73310,40199,        +SFTNG WHT FCLTS 2PLY      175CT 0 1 73310 40199 0= 1 1.7500PP   00672  ,1.75,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KOCH INDUSTRIES INC,GEORGIA-PACIFIC CORP,SOFT N GENTLE,+SFTNG WHT FCLTS 2PLY 250CT,9,00-01-73310-42217,17331042217,, 1,73310,42217,        +SFTNG WHT FCLTS 2PLY      250CT 0 1 73310 42217 1  1 2.5000RP   00673  ,2.5,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP & SIDE OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KOCH INDUSTRIES INC,GEORGIA-PACIFIC CORP,SOFT N GENTLE,+SFTNG WHT FCLTS 2PLY 252CT,9,00-01-73310-46517,17331046517,, 1,73310,46517,        +SFTNG WHT FCLTS 2PLY      252CT 0 1 73310 46517 1  1 2.5200RP   00674  ,2.52,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KOCH INDUSTRIES INC,GEORGIA-PACIFIC CORP,SOFT N GENTLE,+SFTNG WHT FCLTS 2PLY 750CT,9,00-01-73310-42233,17331042233,, 1,73310,42233,        +SFTNG WHT FCLTS 2PLY      750CT 0 1 73310 42233 1  1 7.5000RP   00675  ,7.5,FACIAL TISSUE,WHITE,FAMILY,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KOLE IMPORTS,KOLE IMPORTS,NOBRAND,+NBRND WHT FCLTS 2PLY 120CT,9,07-01-31015-09447,713101509447,7, 1,31015, 9447,        +NBRND WHT FCLTS 2PLY      120CT 7 1 31015  9447 1  1 1.2000RP   00679  ,1.2,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KRUGER COMPANY,SCOTT PAPER LIMITED,WHITE SWAN,+WHISW WHT FCLTS 2PLY 150CT,9,00-01-61328-81000,16132881000,, 1,61328,81000,        +WHISW WHT FCLTS 2PLY      150CT 0 1 61328 81000 1  1 1.5000RP   00683  ,1.5,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,KRUGER COMPANY,SCOTT PAPER LIMITED,WHITE SWAN,+WHISW WHT FCLTS 2PLY 450CT,9,00-01-61328-81150,16132881150,, 1,61328,81150,        +WHISW WHT FCLTS 2PLY      450CT 0 1 61328 81150 1  1 4.5000RP   00684  ,4.5,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,LINTERS INC.,LINTERS INC.,PURELY COTTON,+PRLCT WHT FCLTS 2PLY 10CT,9,07-01-03999-00078,710399900078,7, 1, 3999,   78,        +PRLCT WHT FCLTS 2PLY       10CT 7 1  3999    78 1  1 0.1000RP   00688  ,0.1,FACIAL TISSUE,WHITE,POCKET SIZE,MISSING,2 PLY,POP-UP,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,LINTERS INC.,LINTERS INC.,PURELY COTTON,+PRLCT WHT FCLTS 2PLY 15CT,9,07-01-03999-00043,710399900043,7, 1, 3999,   43,        +PRLCT WHT FCLTS 2PLY       15CT 7 1  3999    43 1  1 0.1500RP   00689  ,0.15,FACIAL TISSUE,WHITE,POCKET SIZE,MISSING,2 PLY,TEAR OPEN,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,LINTERS INC.,LINTERS INC.,PURELY COTTON,+PRLCT WHT FCLTS 2PLY 75CT,9,07-01-03999-00051,710399900051,7, 1, 3999,   51,        +PRLCT WHT FCLTS 2PLY       75CT 7 1  3999    51 1  1 0.7500RP   00690  ,0.75,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,LINTERS INC.,LINTERS INC.,PURELY COTTON,+PRLCT WHT FCLTS 2PLY 98CT,9,07-02-03999-00057,720399900057,7, 2, 3999,   57,        +PRLCT WHT FCLTS 2PLY       98CT 7 2  3999    57 1  1 0.9800RP   00691  ,0.98,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,POP-UP,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,LINTERS INC.,LINTERS INC.,PURELY COTTON,+PRLCT WHT FCLTS 2PLY 98CT,9,07-01-03999-00057,710399900057,7, 1, 3999,   57,        +PRLCT WHT FCLTS 2PLY       98CT 7 1  3999    57 0= 1 0.9800RP   00692  ,0.98,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,LINTERS INC.,LINTERS INC.,PURELY COTTON,+PRLCT WHT FCLTS 2PLY 140CT,9,07-01-03999-00060,710399900060,7, 1, 3999,   60,        +PRLCT WHT FCLTS 2PLY      140CT 7 1  3999    60 1  1 1.4000RP   00693  ,1.4,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,LINTERS INC.,LINTERS INC.,PURELY COTTON,+PRLCT WHT FCLTS 2PLY 150CT,9,07-01-03999-00050,710399900050,7, 1, 3999,   50,        +PRLCT WHT FCLTS 2PLY      150CT 7 1  3999    50 1  1 1.5000RP   00694  ,1.5,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,LINTERS INC.,LINTERS INC.,PURELY COTTON,+PRLCT WHT FCLTS 2PLY 196CT,9,07-01-03999-00062,710399900062,7, 1, 3999,   62,        +PRLCT WHT FCLTS 2PLY      196CT 7 1  3999    62 1  1 1.9600RP   00695  ,1.96,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,LINTERS INC.,LINTERS INC.,PURELY COTTON,+PRLCT WHT FCLTS 3PLY 50CT,9,07-01-03999-00071,710399900071,7, 1, 3999,   71,        +PRLCT WHT FCLTS 3PLY       50CT 7 1  3999    71 1  1 0.5000RP   00696  ,0.5,FACIAL TISSUE,WHITE,MISSING,MISSING,3 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,LINTERS INC.,LINTERS INC.,PURELY COTTON,+PRLCT WHT FCLTS 3PLY 96CT,9,07-01-03999-00070,710399900070,7, 1, 3999,   70,        +PRLCT WHT FCLTS 3PLY       96CT 7 1  3999    70 1  1 0.9600RP   00697  ,0.96,FACIAL TISSUE,WHITE,MISSING,MISSING,3 PLY,TOP OPENING,MISSING
